"","X","Y"
"258",449666.686484515,4433569.81223641
"259",448189.725788271,4433908.1314774
"260",451700.958453654,4434579.48632305
"261",450714.697913335,4433417.09776395
"262",449018.026756338,4435000.14369544
"263",453416.782348381,4435517.45003986
"264",452040.499317846,4434200.01448653
"265",449537.463037366,4434912.91700569
"266",450514.902077695,4434212.56834176
"267",447550.731354824,4434713.66745916
"268",451630.368436152,4433609.02181413
"269",449289.540157167,4435145.7608916
"270",449805.390402448,4433435.42685836
"271",448189.746542234,4434027.90528238
"272",452642.489174089,4434535.78697406
"273",450273.355553931,4433582.15062056
"274",449479.134623021,4435267.31539705
"275",452874.681894789,4435147.6551167
"276",452502.436317031,4433865.4033134
"277",450453.51558296,4434524.36336235
"278",448532.580391539,4434333.66536979
"279",451636.418377273,4433898.354579
"280",451935.639550128,4433795.51468776
"281",449450.253009038,4434312.87724804
"282",450572.045382252,4435091.90851804
"283",447309.504986693,4434531.99657794
"284",451307.577984686,4433617.40970058
"285",449453.444170009,4434893.36378685
"286",449288.497371991,4433558.61951004
"287",449013.888750795,4433976.02923575
"288",452537.071284436,4434506.2734442
"289",450325.356581636,4434107.28737745
"290",448279.759712867,4434871.37261222
"291",453061.935174169,4434482.61910232
"292",452650.177551489,4434133.10699405
"293",450153.881431322,4434495.32072944
"294",448154.513743236,4434385.30850899
"295",451194.325415329,4433845.77797056
"296",451684.202382171,4433261.02850451
"297",449275.205398424,4434518.6502739
"298",449366.657690591,4433759.12324983
"299",447957.798838416,4433878.44195663
"300",451523.760682619,4434301.52856506
"301",450877.567356291,4433879.43270469
"302",449637.547019127,4434191.45673598
"303",448643.374515637,4433744.72682205
"304",452116.9093271,4434220.47861548
"305",450862.043221346,4433654.54406208
"306",449016.492678026,4434407.38262339
"307",453229.362552935,4434627.4320394
"308",451978.774052996,4433274.50884375
"309",450325.117996137,4435087.3176708
"310",448019.253442002,4435053.94218035
"311",451158.912963319,4434014.20966509
"312",451999.252954679,4433069.62924916
"313",447143.555119317,4434540.11848089
"314",450793.94296953,4434644.66607583
"315",447949.002287586,4434370.82020287
"316",451875.450354517,4433611.09921294
"317",449696.729130172,4434245.10587614
"318",449569.821192633,4433668.01352881
"319",448369.335799345,4433962.09610078
"320",451391.009026977,4434305.07147921
"321",450027.901426374,4433572.62035201
"322",450394.108534614,4435302.26117638
"323",453398.683185417,4435018.67470401
"324",452732.251188513,4435064.26235801
"325",450795.094101846,4433382.56398172
"326",448780.715862363,4434722.11667267
"327",451654.733448723,4433989.48200746
"328",452272.898145305,4434090.53766276
"329",449626.706858911,4434974.74723257
"330",450707.183360057,4434757.34087299
"331",447612.264609764,4434222.1970791
"332",451185.239541053,4433460.0001673
"333",449296.176705527,4434928.35922291
"334",449520.279851712,4433486.43320696
"335",448186.34437663,4434049.92786909
"336",452610.801574436,4434630.2268925
"337",450069.955555709,4433498.62154072
"338",448423.679010631,4434917.20410478
"339",453029.39289695,4434787.38270301
"340",452402.940264731,4434159.75324876
"341",450312.196039382,4434359.9941725
"342",448402.68080611,4434353.57056464
"343",451749.306213804,4434158.50338484
"344",452015.661310275,4433896.40777105
"345",449341.246542041,4434225.3503746
"346",449372.148543864,4434001.28528267
"347",447606.846329432,4434591.08186131
"348",451268.08161953,4433699.70920426
"349",449261.585629428,4434931.77134449
"350",449923.06272087,4433902.94552271
"351",448733.829101168,4434158.50753591
"352",452784.552203622,4434376.54915501
"353",450185.403514098,4433821.66543808
"354",448744.808738724,4434493.01627401
"355",453025.956437388,4434672.00006424
"356",452111.369485206,4433719.79876721
"357",450330.966486708,4434853.17082252
"358",448096.631647983,4434892.81978727
"359",451210.382539652,4433943.74352263
"360",451582.012051638,4433021.22127409
